Day_of_week,Workout,Work_shift,Healing_hug,Month,Year,Pto
Sun,1.0,on call,0.0,8,2021,0
Mon,0.0,late,1.0,8,2021,0
Tue,0.0,late,0.0,8,2021,0
Wed,0.0,late,0.0,9,2021,0
Thu,,late,,9,2021,0
Tue,0.0,early,0.0,9,2021,0
Wed,0.0,early,1.0,9,2021,0
Thu,0.0,off,0.0,9,2021,1
Fri,0.0,off,1.0,9,2021,1
Sat,1.0,,0.0,9,2021,0
Sun,1.0,,1.0,9,2021,0
Mon,0.0,off,0.0,9,2021,1
Tue,0.0,early,0.0,9,2021,0
Wed,0.0,early,0.0,9,2021,0
Thu,0.0,early,0.0,9,2021,0
Fri,0.0,early,0.0,9,2021,0
Sat,0.0,,0.0,9,2021,0
Sun,1.0,,1.0,9,2021,0
Mon,0.0,late,0.0,9,2021,0
Tue,0.0,late,0.0,9,2021,0
Wed,0.0,late,0.0,9,2021,0
Thu,0.0,late,1.0,9,2021,0
Fri,0.0,late,0.0,9,2021,0
Sat,0.0,,0.0,9,2021,0
Sun,1.0,on call,0.0,9,2021,0
Mon,0.0,early,0.0,9,2021,0
Sat,0.0,,0.0,10,2021,0
Sun,1.0,,1.0,10,2021,0
Mon,0.0,late,0.0,10,2021,0
Tue,0.0,late,0.0,10,2021,0
Wed,0.0,late,1.0,10,2021,0
Thu,0.0,late,0.0,10,2021,0
Fri,0.0,late,0.0,10,2021,0
Sat,0.0,,1.0,10,2021,0
Sun,1.0,on call,0.0,10,2021,0
Mon,0.0,late,0.0,10,2021,0
Tue,0.0,late,0.0,10,2021,0
Wed,0.0,late,0.0,10,2021,0
Thu,0.0,late,0.0,10,2021,0
Fri,0.0,late,0.0,10,2021,0
Sat,0.0,,0.0,10,2021,0
Sun,1.0,on call,1.0,10,2021,0
Mon,0.0,early,0.0,10,2021,0
Tue,0.0,early,0.0,10,2021,0
Wed,0.0,early,0.0,10,2021,0
Thu,0.0,early,1.0,10,2021,0
Fri,0.0,early,0.0,10,2021,0
Fri,0.0,early,0.0,10,2021,0
Sat,0.0,,0.0,10,2021,0
